zip,service_type,subregion
2,electricity,AKMS
6,electricity,AKGD
7,electricity,AKMS
10,electricity,AKMS
11,electricity,AKGD
12,electricity,CAMX
14,electricity,AZNM
15,electricity,AZNM
16,electricity,CAMX
17,electricity,CAMX
18,electricity,CAMX
19,electricity,CAMX
20,electricity,CAMX
22,electricity,CAMX
26,electricity,CAMX
27,electricity,RMPA
28,electricity,CAMX
29,electricity,CAMX
31,electricity,CAMX
32,electricity,CAMX
33,electricity,CAMX
34,electricity,NWPP
35,electricity,NWPP
37,electricity,CAMX
38,electricity,CAMX
39,electricity,CAMX
40,electricity,CAMX
41,electricity,FRCC
42,electricity,FRCC
43,electricity,FRCC
44,electricity,CAMX
45,electricity,FRCC
47,electricity,CAMX
48,electricity,CAMX
49,electricity,NWPP
50,electricity,CAMX
51,electricity,CAMX
52,electricity,CAMX
53,electricity,FRCC
54,electricity,CAMX
55,electricity,CAMX
56,electricity,NWPP
58,electricity,CAMX
59,electricity,MROW
60,electricity,MROW
63,electricity,NWPP
64,electricity,AZNM
65,electricity,CAMX
66,electricity,AZNM
67,electricity,SPSO
68,electricity,NWPP
69,electricity,NWPP
70,electricity,NWPP
71,electricity,NWPP
72,electricity,NWPP
73,electricity,NWPP
74,electricity,NWPP
76,electricity,NWPP
77,electricity,NWPP
84,electricity,SRVC
87,electricity,FRCC
97,electricity,FRCC
98,electricity,FRCC
100,electricity,NWPP
116,electricity,SRMV
119,electricity,SRMV
120,electricity,SRMV
121,electricity,SRMV
127,electricity,NEWE
130,electricity,NEWE
134,electricity,NEWE
135,electricity,NEWE
137,electricity,NEWE
138,electricity,NEWE
139,electricity,NEWE
141,electricity,NEWE
151,electricity,NEWE
152,electricity,RFCE
158,electricity,NEWE
160,electricity,MROW
161,electricity,MROW
164,electricity,MROW
165,electricity,MROW
166,electricity,MROW
168,electricity,NEWE
172,electricity,NEWE
173,electricity,NEWE
174,electricity,NEWE
176,electricity,NEWE
177,electricity,NEWE
179,electricity,NEWE
180,electricity,NEWE
181,electricity,NEWE
182,electricity,NEWE
183,electricity,NEWE
184,electricity,NEWE
185,electricity,NEWE
188,electricity,ERCT
195,electricity,NWPP
197,electricity,AZNM
198,electricity,AKGD
